clip_id,object_id,class_id,shift_id,repetition
S08_P10_damaged_label_motion_blur_R01,P10,damaged_label,motion_blur,1
S08_P10_misaligned_label_distance_scale_R01,P10,misaligned_label,distance_scale,1
S08_P10_damaged_label_motion_blur_R04,P10,damaged_label,motion_blur,4
S08_P10_missing_label_distance_scale_R04,P10,missing_label,distance_scale,4
S08_P09_ok_motion_blur_R01,P09,ok,motion_blur,1
S08_P09_missing_label_viewpoint_45_R02,P09,missing_label,viewpoint_45,2
S08_P09_damaged_label_distance_scale_R04,P09,damaged_label,distance_scale,4
S08_P09_misaligned_label_distance_scale_R03,P09,misaligned_label,distance_scale,3
S08_P10_missing_label_viewpoint_45_R04,P10,missing_label,viewpoint_45,4
S08_P09_ok_viewpoint_45_R01,P09,ok,viewpoint_45,1
S08_P09_ok_viewpoint_45_R02,P09,ok,viewpoint_45,2
S08_P09_damaged_label_viewpoint_45_R03,P09,damaged_label,viewpoint_45,3
S08_P09_misaligned_label_motion_blur_R04,P09,misaligned_label,motion_blur,4
S08_P09_ok_distance_scale_R02,P09,ok,distance_scale,2
S08_P10_ok_distance_scale_R04,P10,ok,distance_scale,4
S08_P10_ok_motion_blur_R02,P10,ok,motion_blur,2
S08_P09_ok_distance_scale_R03,P09,ok,distance_scale,3
S08_P09_damaged_label_distance_scale_R03,P09,damaged_label,distance_scale,3
S08_P09_missing_label_motion_blur_R03,P09,missing_label,motion_blur,3
S08_P09_ok_distance_scale_R01,P09,ok,distance_scale,1
S08_P10_ok_viewpoint_45_R02,P10,ok,viewpoint_45,2
S08_P10_damaged_label_viewpoint_45_R03,P10,damaged_label,viewpoint_45,3
S08_P10_ok_motion_blur_R03,P10,ok,motion_blur,3
S08_P09_ok_viewpoint_45_R04,P09,ok,viewpoint_45,4
S08_P10_ok_distance_scale_R01,P10,ok,distance_scale,1
S08_P10_missing_label_motion_blur_R04,P10,missing_label,motion_blur,4
S08_P09_ok_motion_blur_R02,P09,ok,motion_blur,2
S08_P10_damaged_label_viewpoint_45_R02,P10,damaged_label,viewpoint_45,2
S08_P10_ok_viewpoint_45_R03,P10,ok,viewpoint_45,3
S08_P09_misaligned_label_motion_blur_R03,P09,misaligned_label,motion_blur,3
S08_P10_misaligned_label_viewpoint_45_R02,P10,misaligned_label,viewpoint_45,2
S08_P10_missing_label_motion_blur_R01,P10,missing_label,motion_blur,1
S08_P09_missing_label_motion_blur_R01,P09,missing_label,motion_blur,1
S08_P09_missing_label_distance_scale_R01,P09,missing_label,distance_scale,1
S08_P09_misaligned_label_distance_scale_R04,P09,misaligned_label,distance_scale,4
S08_P10_missing_label_motion_blur_R03,P10,missing_label,motion_blur,3
S08_P09_misaligned_label_motion_blur_R01,P09,misaligned_label,motion_blur,1
S08_P09_misaligned_label_viewpoint_45_R02,P09,misaligned_label,viewpoint_45,2
S08_P10_ok_motion_blur_R04,P10,ok,motion_blur,4
S08_P10_misaligned_label_distance_scale_R03,P10,misaligned_label,distance_scale,3
S08_P10_misaligned_label_motion_blur_R02,P10,misaligned_label,motion_blur,2
S08_P10_damaged_label_motion_blur_R03,P10,damaged_label,motion_blur,3
S08_P09_damaged_label_distance_scale_R02,P09,damaged_label,distance_scale,2
S08_P09_damaged_label_viewpoint_45_R01,P09,damaged_label,viewpoint_45,1
S08_P09_ok_motion_blur_R03,P09,ok,motion_blur,3
S08_P10_misaligned_label_distance_scale_R02,P10,misaligned_label,distance_scale,2
S08_P09_misaligned_label_viewpoint_45_R03,P09,misaligned_label,viewpoint_45,3
S08_P09_damaged_label_motion_blur_R02,P09,damaged_label,motion_blur,2
S08_P09_missing_label_motion_blur_R04,P09,missing_label,motion_blur,4
S08_P09_damaged_label_viewpoint_45_R04,P09,damaged_label,viewpoint_45,4
S08_P10_misaligned_label_viewpoint_45_R03,P10,misaligned_label,viewpoint_45,3
S08_P09_missing_label_distance_scale_R03,P09,missing_label,distance_scale,3
S08_P10_missing_label_viewpoint_45_R02,P10,missing_label,viewpoint_45,2
S08_P09_missing_label_distance_scale_R04,P09,missing_label,distance_scale,4
S08_P10_damaged_label_motion_blur_R02,P10,damaged_label,motion_blur,2
S08_P09_damaged_label_motion_blur_R04,P09,damaged_label,motion_blur,4
S08_P09_ok_distance_scale_R04,P09,ok,distance_scale,4
S08_P10_misaligned_label_viewpoint_45_R04,P10,misaligned_label,viewpoint_45,4
S08_P09_missing_label_viewpoint_45_R04,P09,missing_label,viewpoint_45,4
S08_P10_misaligned_label_distance_scale_R04,P10,misaligned_label,distance_scale,4
S08_P10_ok_motion_blur_R01,P10,ok,motion_blur,1
S08_P10_missing_label_distance_scale_R02,P10,missing_label,distance_scale,2
S08_P10_ok_distance_scale_R02,P10,ok,distance_scale,2
S08_P09_missing_label_viewpoint_45_R03,P09,missing_label,viewpoint_45,3
S08_P10_damaged_label_viewpoint_45_R01,P10,damaged_label,viewpoint_45,1
S08_P10_damaged_label_distance_scale_R02,P10,damaged_label,distance_scale,2
S08_P09_ok_motion_blur_R04,P09,ok,motion_blur,4
S08_P09_misaligned_label_viewpoint_45_R01,P09,misaligned_label,viewpoint_45,1
S08_P09_damaged_label_motion_blur_R01,P09,damaged_label,motion_blur,1
S08_P09_misaligned_label_motion_blur_R02,P09,misaligned_label,motion_blur,2
S08_P09_damaged_label_viewpoint_45_R02,P09,damaged_label,viewpoint_45,2
S08_P10_misaligned_label_motion_blur_R04,P10,misaligned_label,motion_blur,4
S08_P09_missing_label_motion_blur_R02,P09,missing_label,motion_blur,2
S08_P09_damaged_label_motion_blur_R03,P09,damaged_label,motion_blur,3
S08_P10_ok_viewpoint_45_R01,P10,ok,viewpoint_45,1
S08_P10_missing_label_viewpoint_45_R03,P10,missing_label,viewpoint_45,3
S08_P09_missing_label_distance_scale_R02,P09,missing_label,distance_scale,2
S08_P10_ok_distance_scale_R03,P10,ok,distance_scale,3
S08_P10_ok_viewpoint_45_R04,P10,ok,viewpoint_45,4
S08_P10_misaligned_label_motion_blur_R03,P10,misaligned_label,motion_blur,3
S08_P10_damaged_label_distance_scale_R04,P10,damaged_label,distance_scale,4
S08_P10_missing_label_distance_scale_R01,P10,missing_label,distance_scale,1
S08_P10_damaged_label_viewpoint_45_R04,P10,damaged_label,viewpoint_45,4
S08_P10_missing_label_motion_blur_R02,P10,missing_label,motion_blur,2
S08_P09_misaligned_label_viewpoint_45_R04,P09,misaligned_label,viewpoint_45,4
S08_P09_missing_label_viewpoint_45_R01,P09,missing_label,viewpoint_45,1
S08_P10_damaged_label_distance_scale_R01,P10,damaged_label,distance_scale,1
S08_P10_misaligned_label_motion_blur_R01,P10,misaligned_label,motion_blur,1
